run_name,timestamp,model_name,input_encoding,architecture_scale,num_params,estimated_flops_per_position,epochs_trained,best_epoch,best_score,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,val_accuracy,val_pr_auc,train_samples_per_second,test_samples_per_second,fit_elapsed_seconds,batch_size,learning_rate,epochs_configured,git_commit,config_hash
idea_i041_centered_tempo_odd_interventional_bottleneck_seed42,2026-05-10T03:48:28Z,centered_tempo_odd_interventional_bottleneck,simple_18,base,426369,51276641,12,11,0.8253865866180508,0.8161933818352499,0.6758217515993823,0.8624718468468469,0.7578231292517007,0.9073590123950794,0.8253865866180508,,,15248.662148736412,12362.188592379587,178.80975359864533,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,818c87b571808325
idea_i083_fisher_geodesic_tension_network_seed42,2026-05-10T07:52:22Z,fisher_geodesic_tension_network,simple_18,base,376570,45114730,13,12,0.8248766556130225,0.833701009152781,0.7584555087821164,0.7355011261261262,0.7468019724147789,0.9081285652862918,0.8248766556130225,,,15205.28562839761,9562.885682406206,179.7090891227126,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,eff1820aea6d98cd
idea_i127_square_color_parity_mixer_seed42,2026-05-10T14:30:55Z,square_color_parity_mixer,simple_18,base,197711,12697537,12,11,0.8243157307925795,0.815724008448721,0.6786196043165468,0.8498029279279279,0.754625,0.9041718686858113,0.8243157307925795,,,13836.423185485177,12309.224554912047,194.14229868352413,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,f85edcb074952593
idea_i203_hierarchical_tactical_option_network_seed42,2026-05-10T20:26:00Z,hierarchical_tactical_option_network,simple_18,base,67218,6498137,12,11,0.8238201837220597,0.8232809199718376,0.6990106091310049,0.8254504504504504,0.7569870263990189,0.9068279365953165,0.8238201837220597,,,15229.430255931591,11563.546188035549,178.18275188747793,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,9706adf6a8259a9b
idea_i010_rule_consistent_latent_dynamics_seed42,2026-05-09T18:32:44Z,rule_consistent_latent_dynamics,simple_18,base,254018,27291969,13,12,0.8237980032280534,0.7979816944379253,0.6438553226469379,0.8820382882882883,0.7443573295319553,0.904807168247573,0.8237980032280534,,,13275.676523394774,11799.253510873168,201.83874363359064,128,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,f4b0b00b1f6ea8e7
idea_i155_capsule_motif_boardnet_seed42,2026-05-10T16:42:34Z,capsule_motif_boardnet,simple_18,base,95489,10964417,11,10,0.8233177623679941,0.8261910349683173,0.7217368626939628,0.7791385135135135,0.7493400121843904,0.9040262855014016,0.8233177623679941,,,14911.065672737808,11886.519803470635,183.13140767533332,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,a9aba142915aa4be
idea_i139_soft_majorization_line_sorter_seed42,2026-05-10T15:38:23Z,soft_majorization_line_sorter,simple_18,base,103670,6281089,13,12,0.8231643687760846,0.827739967143863,0.7225246241575947,0.7847691441441441,0.752361673414305,0.9055479900936425,0.8231643687760846,,,14429.561840272723,11624.645938996353,187.49418973643333,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,41127e6d2b4cd25a
idea_i177_forcing_certificate_transformer_seed42,2026-05-10T18:18:20Z,forcing_certificate_transformer,simple_18,base,193550,12780711,13,12,0.8226409344329764,0.8328561370570289,0.7485618072120107,0.7509853603603603,0.7497716253249948,0.9062821309928689,0.8226409344329764,,,15178.928482856398,11920.209575722609,179.7764640916139,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,811db92d3573785e
idea_i167_evidence_sieve_network_seed42,2026-05-10T17:28:39Z,evidence_sieve_network,simple_18,base,255092,28854657,12,11,0.8226039132742082,0.8242196667448956,0.7088151187367897,0.8025056306306306,0.7527563213837724,0.9044276775807565,0.8226039132742082,,,15322.262928877344,12485.85000349167,180.2685013366863,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,f136c095685759d2
idea_i174_king_zone_evidence_ledger_seed42,2026-05-10T18:02:09Z,king_zone_evidence_ledger,simple_18,base,143472,6619511,13,12,0.8222662181290477,0.8118751466791833,0.6663800515907137,0.8727477477477478,0.7557289127254998,0.9064157102802047,0.8222662181290477,,,14570.628136750747,11032.60182606537,187.9477598592639,256,0.0007,12,2e03965698dfe824efd0020628d3cc17da37547a,9af7e510f86ac106
